ID	test	function
16	3	liquidate
17	1	distributeStrategyGainLoss
17	1	realizePriceChange
17	1	safetyCheck
17	1	_stableToUsd
17	2	burnGToken
17	2	mintGToken
17	3	N/A
19	1	fulfill
19	3	fulfill
19	3	prepare
20	1	calcAsymmetricValueToken
20	1	calcLiquidityUnits
20	1	getSlipAdustment
20	1	depositForMember
20	1	harvestSingle
20	1	mintSynth
20	1	burnSynth
20	1	removeLiquidityExact
20	1	removeLiquiditySingle
20	1	removeForMember
20	1	mintSynth
20	1	burnSynth
20	1	createPoolADD
20	2	transfer
20	2	addForMember
20	2	removeForMember
20	2	buyTo
20	2	mintSynth
20	2	burnSynth
20	2	realise
20	2	harvestSingle
20	2	_addVaultMetrics
20	2	calcShare
20	2	calcLiquidityHoldings
20	3	calcLiquidityUnits
20	3	getSlipAdustment
20	3	calcSwapOutput
20	3	calcSwapFee
20	3	depositForMember
20	3	harvestSingle
20	3	burnSynth
20	3	decreaseAllowance
20	3	_handleTransferIn
20	3	swapTo
20	3	buyTo
20	3	removeForMember
20	3	addForMember
21	1	unstake
21	1	setCooldownFee
21	1	stake
21	1	baseData
21	1	strategyDeposit
21	1	strategyWithdraw
21	1	baseData
21	2	unstake
21	2	_stake
21	2	stake
21	2	strategyUpdate
21	2	strategyDeposit
21	3	strategyWithdraw
21	3	strategyUpdate
21	3	stake
21	3	unstake
23	1	getDiscountFactor
23	1	getSettlementDate
23	1	getRiskAdjustedPresentValue
23	1	_calcToken
23	1	constructor
23	1	transfer
23	1	transferFrom
23	1	notionalCallback
23	1	notionalCallback
23	1	enableWBTC
23	1	notionalCallback
23	1	notionalCallback
23	1	enableToken
23	1	_transfer
23	2	_transfer
23	2	migrateBorrowFromCompound
23	2	enableToken
23	2	migrateDaiEther
23	2	enableWBTC
23	2	approve
23	2	transfer
23	2	transferFrom
23	2	getSettlementDate
23	3	enableWBTC
23	3	notionalCallback
23	3	transferFrom
23	3	enableToken
23	3	nTokenTransferApproveAll
23	3	nTokenClaimIncentives
23	3	getDiscountFactor
23	3	getRiskAdjustedPresentValue
24	1	redeemToken
24	1	supplyTokenTo
24	3	supplyTokenTo
25	1	claim
25	2	setSource
25	2	peek
25	2	_peek
25	2	setSource
25	2	peek
25	2	_peek
25	2	_updateUserRewards
25	2	claim
25	3	setSources
25	3	setSources
25	3	_peek
25	3	claim
25	3	_updateRewardsPerToken
28	1	initToken
28	1	initToken
28	1	finalize
28	2	finalize
28	2	initAuctionLauncher
28	2	N/A
28	3	initToken
28	3	mint
28	3	delegateBySig
28	3	finalize
28	3	depositToken1
28	3	initAuctionLauncher
28	3	commitEth
28	3	commitTokensFrom
29	1	flashSwap
29	1	flashSwap
29	1	flashSwap
29	1	_getAmountOut
29	2	flashSwap
29	2	mint
29	3	flashSwap
29	3	flashSwap
29	3	mint
30	1	withdraw
30	1	withdraw
30	1	inCaseStrategyGetStuck
30	1	inCaseTokensGetStuck
30	2	withdraw
30	2	setCap
30	3	withdraw
30	3	_normalizeDecimals
30	3	withdraw
30	3	inCaseStrategyGetStuck
30	3	N/A
31	2	N/A
31	3	prepareWithdrawAll
31	3	_withdrawSome
31	3	_swapcvxCRVToWant
31	3	manualRebalance
34	1	_calculatePrizesAwardable
34	2	calculate
34	2	_calculateNumberOfUserPicks
34	3	calculate
35	1	subscribe
35	1	claimReward
35	1	getReward
35	2	claimReward
35	2	subscribe
35	2	claimReward
35	2	getReward
35	3	claimReward
35	3	subscribe
36	1	mint
36	1	handleFees
36	2	mint
36	2	handleFees
36	3	mint
36	3	handleFees
37	2	depositYieldBearing
37	2	depositBacking
38	1	tipMiner
38	1	execute
38	1	send
38	1	execScheduled
38	2	tipMiner
38	2	execute
38	2	executeBySender
38	2	send
38	2	sendTransfer
38	3	tipMiner
38	3	setAddrPrivilege
38	3	execute
38	3	send
38	3	execScheduled
38	3	sendTransfer
38	3	sendTxns
39	1	transferNotionalFrom
39	1	transferNotionalFee
39	1	removeNotional
39	2	transferNotionalFrom
39	2	transferNotionalFee
39	3	transferNotionalFrom
39	3	addNotional
39	3	transferNotionalFee
39	1	withdraw
39	1	initiateVaultFillingZcTokenInitiate
39	1	initiate
39	2	withdraw
39	3	withdraw
39	3	initiateVaultFillingZcTokenInitiate
41	1	settleAuction
41	1	addBounty
41	1	settleAuction
41	2	settleAuction
41	2	settleAuction
41	2	withdrawBounty
41	3	settleAuction
41	3	bondForRebalance
42	1	flashLoan
42	1	increase
42	1	decrease
42	1	registerAsset
42	1	registerAssetByGov
42	1	distributeMochi
42	1	updateReserve
42	1	distributeMochi
42	1	claimRewardAsMochi
42	1	addReward
42	1	addReward
42	1	vest
42	1	claim
42	1	lock
42	1	forceClaim
42	1	veCRVInitialize
42	1	veCRVlock
42	1	claimOperationCost
42	1	_buyCRV
42	1	_lockCRV
42	2	withdraw
42	2	liquidate
42	2	flashLoan
42	2	calculateFeeIndex
42	2	registerAssetByGov
42	2	distributeMochi
42	2	updateReserve
42	2	changeTreasuryRatio
42	2	claimRewardAsMochi
42	2	addReward
42	2	claimRewardAsMochi
42	2	vest
42	2	claim
42	2	lock
42	2	forceClaim
42	2	claimOperationCost
42	2	updateFee
42	2	veCRVlock
42	3	N/A
42	3	withdraw
42	3	mint
42	3	registerAsset
42	3	registerAssetByGov
42	3	distributeMochi
42	3	_buyMochi
42	3	claimRewardAsMochi
42	3	claimRewardAsMochi
42	3	_buyCRV
42	3	_buyCRV
42	3	withdrawCRV
42	3	forceClaim
42	3	vest
42	3	lock
44	1	sweepFees
44	2	swapByQuote
44	2	swapByQuote
44	3	swapByQuote
45	2	getLockedAmount
45	2	_findMedian
47	1	mint
47	1	burn
47	1	updatePricePerShare
47	1	mint
47	1	burn
47	2	burn
47	2	burn
47	3	mint
47	3	burn
47	3	mint
47	3	burn
49	1	fetchPricePoint
49	1	computeDepth
49	2	fetchPricePoint
49	2	computeDepth
49	3	fetchPricePoint
49	3	computeDepth
49	3	fetchPricePoint
51	1	revoke
51	1	_claimableAmount
51	1	withdrawTokens
51	2	claim
51	2	distributeTokens
51	3	claim
51	3	_claimableAmount
51	3	not
52	1	calculateSwapReverse
52	1	swap
52	1	mint
52	1	_burn
52	1	removeLiquidity
52	1	addLiquidity
52	1	mintSynth
52	1	burnSynth
52	1	mintFungible
52	1	burnFungible
52	1	removeLiquidity
52	1	execute
52	1	setTimelock
52	1	grant
52	1	reimburseImpermanentLoss
52	1	consult
52	1	consult
52	1	enter
52	1	leave
52	2	calculateSlipAdjustment
52	2	calculateSwap
52	2	calculateSwapReverse
52	2	mint
52	2	_burn
52	2	swap
52	2	removeLiquidity
52	2	addLiquidity
52	2	mintSynth
52	2	burnSynth
52	2	mintFungible
52	2	burnFungible
52	2	rescue
52	2	setTimelock
52	2	propose
52	2	grant
52	2	claim
52	2	claimConverted
52	3	calculateSwap
52	3	calculateSwapReverse
52	3	mint
52	3	_burn
52	3	swap
52	3	rescue
52	3	removeLiquidity
52	3	propose
52	3	setTimelock
52	3	reimburseImpermanentLoss
53	1	mint
53	1	receive
53	1	increaseLockTimestamp
53	2	receive
53	2	increaseLockTimestamp
53	2	unlockTokens
53	2	burn
53	3	mint
53	3	releaseToken
53	3	receive
53	3	_submitOrder
53	3	increaseLockTimestamp
54	1	recordKeyPurchase
54	1	recordKeyPurchase
54	1	setOracle
54	1	recordKeyPurchase
54	1	setKeyManagerOf
54	1	_timeMachine
54	1	purchase
54	1	purchase
54	1	shareKey
54	1	transferFrom
54	1	safeTransferFrom
54	1	safeTransferFrom
54	1	_cancelAndRefund
54	2	recordKeyPurchase
54	2	recordKeyPurchase
54	2	recordKeyPurchase
54	2	setApprovalForAll
54	2	_timeMachine
54	2	purchase
54	2	shareKey
54	2	shareKey
54	2	transfer
54	2	_cancelAndRefund
54	3	recordKeyPurchase
54	3	recordKeyPurchase
54	3	_deployProxyAdmin
54	3	_timeMachine
54	3	_timeMachine
54	3	purchase
54	3	purchase
54	3	purchase
54	3	shareKey
54	3	transferFrom
54	3	_cancelAndRefund
56	1	update
56	1	getEarnedYield
56	2	update
56	3	update
56	3	update
58	1	_pull
58	1	_allowTokenIfNecessary
58	1	N/A
58	1	deployVault
58	1	collectEarnings
58	2	_pull
58	2	_allowTokenIfNecessary
58	2	deposit
58	2	withdraw
58	2	deployVault
58	2	deployVault
58	2	collectEarnings
58	3	_pull
58	3	_allowTokenIfNecessary
58	3	_push
58	3	collectEarnings
58	3	_parseOptions
59	1	getAverageParticipation
59	1	getRealBurnBudget
59	1	buyMalt
59	1	exitEarly
59	2	buyMalt
59	2	sellMalt
59	2	addLiquidity
59	2	removeLiquidity
59	2	exitEarly
59	3	exitEarly
59	3	exitEarly
59	3	earlyExitReturn
59	3	buyMalt
59	3	sellMalt
59	3	addLiquidity
59	3	removeLiquidity
60	1	liquidate
60	2	liquidate
60	3	debitAccount
60	3	settleAccount
60	3	debit
60	3	resolve
60	3	liquidate
60	3	withdrawTo
61	1	emergencyWithdraw
61	1	emergencyWithdraw
61	1	emergencyWithdraw
61	1	lockTokens
61	1	emergencyWithdraw
61	1	withdrawFromSavingsAccount
61	1	transferTokens
61	1	getChainlinkLatestPrice
61	2	emergencyWithdraw
61	2	receive
61	2	emergencyWithdraw
61	2	emergencyWithdraw
61	2	lockTokens
61	2	unlockTokens
61	2	unlockShares
61	2	emergencyWithdraw
61	2	receive
61	2	_depositToYield
61	2	switchStrategy
61	2	_withdraw
61	2	getChainlinkLatestPrice
61	3	N/A
61	3	_depositToYield
61	3	_depositToYield
61	3	deposit
61	3	withdrawFromSavingsAccount
61	3	emergencyWithdraw
61	3	getSharesForTokens
61	3	lockTokens
61	3	unlockTokens
61	3	emergencyWithdraw
61	3	emergencyWithdraw
61	3	lockTokens
61	3	unlockTokens
61	3	unlockShares
64	1	claimRewards
64	2	claimRewards
64	2	extendPromotion
65	1	mintTo
65	1	burn
65	1	auctionBurn
65	2	mintTo
65	2	burn
65	3	mintTo
65	3	handleFees
65	3	pushUnderlying
65	3	pullUnderlying
66	1	_buyBack
66	1	publicBuyBack
66	2	mint
66	2	setAddresses
66	2	publicBuyBack
66	3	mint
66	3	mint
66	3	_buyBack
66	3	_burn
67	1	finishRedeemStable
67	1	_swapUnderlyingToUst
67	2	finishRedeemStable
67	2	_swapUnderlyingToUst
67	2	_swapUstToUnderlying
67	3	_swapUnderlyingToUst
67	3	_swapUstToUnderlying
68	1	joinTokenSingle
68	1	_joinTokenSingle
68	2	joinPool
68	2	exitPool
68	2	joinTokenSingle
68	2	_joinTokenSingle
68	3	joinTokenSingle
68	3	_joinTokenSingle
68	3	_maxApprove
69	1	addLiquidity721ETHTo
69	1	addLiquidity721ETHTo
69	1	provideInventory721
69	1	setLPLockTime
69	1	mintAndSell721
69	1	mintAndSell721WETH
69	1	buyAndSwap721
69	1	buyAndSwap721WETH
69	1	mintAndSell1155
69	1	mintAndSell1155WETH
69	2	addLiquidity721ETHTo
69	2	addLiquidity1155ETHTo
69	2	buyAndSwap721
69	2	buyAndSwap721WETH
69	2	buyAndSwap1155
69	2	buyAndSwap1155WETH
69	2	buyAndRedeem
69	2	buyAndRedeemWETH
69	3	provideInventory721
69	3	buyAndSwap721
69	3	buyAndSwap721WETH
69	3	buyAndSwap1155
69	3	buyAndSwap1155WETH
69	3	buyAndRedeem
69	3	buyAndRedeemWETH
70	1	rescue
70	1	rescue
70	1	calculateLiquidityUnits
70	1	calculateSlipAdjustment
70	1	calculateSwap
70	1	calculateSwapReverse
70	1	mintSynth
70	1	burnSynth
70	1	mul
70	1	muli
70	1	muluq
70	1	divuq
70	1	fraction
70	1	constructor
70	1	setTimelock
70	1	syncVaderPrice
70	1	reimburseImpermanentLoss
70	1	claim
70	2	rescue
70	2	rescue
70	2	_update
70	2	calculateSwap
70	2	calculateLoss
70	2	calculateSwapReverse
70	2	burnSynth
70	2	burnFungible
70	2	N/A
70	2	propose
70	2	_castVote
70	2	getVaderPrice
70	2	syncVaderPrice
70	3	claimAll
70	3	mint
70	3	burn
70	3	reimburseImpermanentLoss
70	3	grant
70	3	getVaderPrice
70	3	_updateVaderPrice
70	3	setupVader
70	3	propose
70	3	setTimelock
70	3	mul
70	3	muli
70	3	burnSynth
70	3	rescue
70	3	_supportedToken
70	3	calculateSlipAdjustment
70	3	calculateSwapReverse
71	1	createMarket
71	1	createMarket
71	1	withdrawValue
71	1	_withdrawAttribution
71	1	repayDebt
71	1	withdraw
71	1	deposit
71	1	adjustAlloc
71	1	withdraw
71	1	allocateCredit
71	2	createMarket
71	2	withdrawValue
71	2	repayDebt
71	2	_withdrawAttribution
71	2	withdraw
71	2	deposit
71	2	withdraw
71	2	deposit
71	2	withdraw
71	2	insure
71	3	approveTemplate
71	3	createMarket
71	3	withdrawValue
71	3	withdraw
71	3	adjustAlloc
71	3	deposit
71	3	withdraw
71	3	insure
73	2	migrateDelegator
73	3	migrateDelegator
74	1	migrateETH
74	1	migrateLPT
74	1	receive
74	1	timeswapMintCallback
74	1	deployNative
74	1	mint
74	2	receive
74	2	mint
74	3	mint
74	3	receive
77	1	swapBaseTokenForQuoteToken
77	1	calculateAddLiquidityQuantities
77	2	swapBaseTokenForQuoteToken
77	2	wDiv
77	2	calculateBaseTokenQty
77	3	swapBaseTokenForQuoteToken
77	3	swapBaseTokenForQuoteToken
77	3	calculateLiquidityTokenQtyForDoubleAssetEntry
77	3	calculateAddLiquidityQuantities
78	1	purchasePyroFlan
78	1	purchasePyroFlan
78	1	purchasePyroFlan
78	1	setEnforcement
78	1	transferAndCall
78	1	withdrawGovernanceAsset
78	1	convertFateToFlan
78	1	setEYEBasedAssetStake
78	1	burnAsset
78	2	purchasePyroFlan
78	2	purchasePyroFlan
78	2	setEnforcement
78	2	transferAndCall
78	2	withdrawGovernanceAsset
78	2	setEYEBasedAssetStake
78	2	burnAsset
78	3	purchasePyroFlan
78	3	getMagnitude
78	3	normalize
78	3	transferAndCall
78	3	transferAndCall
78	3	setEnforcement
78	3	withdrawGovernanceAsset
78	3	enforceToleranceInt
78	3	setEYEBasedAssetStake
78	3	burnAsset
79	1	initialize
79	1	allowEmergencyWithdraw
79	2	withdrawAVAX
79	2	depositAVAX
79	2	emergencyWithdraw
79	2	initialize
79	2	createPair
80	1	nonReentrant
80	1	wrap
80	1	unwrap
80	2	_calcCvxIntegral
80	2	_calcRewardIntegral
80	2	wrap
80	2	unwrap
80	3	nonReentrant
80	3	setApprovals
80	3	wrap
80	3	unwrap
81	1	claimCOMPAndTransfer
81	1	setReserveBuffer
81	1	N/A
81	2	claimCOMPAndTransfer
81	2	transferReserveToTreasury
81	3	claimCOMPAndTransfer
81	3	setReserveBuffer
83	1	deposit
83	1	deposit
83	1	donate
83	1	withdraw
83	1	deposit
83	1	withdraw
83	2	deposit
83	2	deposit
83	2	withdraw
83	2	donate
83	2	withdraw
83	2	deposit
83	2	withdraw
83	3	deposit
83	3	withdraw
83	3	deposit
83	3	withdraw
83	3	withdraw
83	3	donate
83	3	withdraw
83	3	deposit
83	3	add
90	1	mint
90	1	burn
90	2	mint
90	2	burn
90	3	mint
90	3	mint
90	3	burn
92	1	boost
92	1	less
92	2	boost
92	2	less
92	2	slurp
92	2	sweep
92	2	gib
92	3	boost
92	3	less
94	1	_getCreatorPaymentInfo
94	1	_distributeFunds
94	1	_distributeFunds
94	1	placeBidOf
94	2	_distributeFunds
94	2	placeBidOf
94	2	finalizeReserveAuction
94	3	_getCreatorPaymentInfo
94	3	placeBidOf
96	1	pay
96	2	mint
96	3	mint
96	3	lend
96	3	borrow
96	3	pay
97	1	withdraw
97	1	reclaimTokens
97	2	reclaimTokens
97	2	_sendRewardsForNft
97	2	deposit
97	2	withdraw
97	2	extractRewards
97	2	sendFundsToUser
97	2	depositErc20
97	3	withdraw
97	3	reclaimTokens
98	1	executeMetaTransaction
98	2	executeMetaTransaction
98	3	executeMetaTransaction
100	2	deposit
100	2	withdraw
102	1	requestCPIData
102	1	fulfill
102	1	requestCPIData
102	2	fulfill
102	2	requestCPIData
102	3	getCurrentOraclePrice
102	3	requestCPIData
103	1	swapTokensGeneric
103	1	swap
103	2	swapTokensGeneric
103	2	swap
103	3	swapTokensGeneric
103	3	swap
104	1	withdraw
104	1	mintToken
104	2	withdraw
104	2	batchMint
104	2	attemptETHTransfer
104	3	transferSplitAsset
104	3	attemptETHTransfer
104	3	withdraw
107	2	unlock
107	3	lockFor
107	3	lockFor
109	1	_burnTokenFrom
109	1	_mintToken
109	1	_burnToken
109	1	swap
109	2	sendToken
109	2	_approveContractCall
109	2	swap
109	3	swap
109	3	swap
109	3	swap
109	3	_burnTokenFrom
109	3	_mintToken
109	3	_burnToken
110	1	deposit
110	2	reportAdditionalToken
110	2	earn
110	2	getPricePerFullShare
110	3	reportAdditionalToken
110	3	reportHarvest
112	2	unstakeFor
112	2	addStrategy
112	3	unstakeFor
113	1	repay
113	1	_lend
113	2	repay
113	2	_call
113	3	lend
113	3	repay
115	1	executeOperation
115	1	depositToVault
115	1	leverageSwap
115	2	executeOperation
115	2	depositToVault
115	2	leverageSwap
115	2	executeOperation
115	2	leverageSwap
115	2	aggregatorSwap
115	3	executeOperation
115	3	aggregatorSwap
122	1	withdraw
122	1	createVault
122	2	withdraw
122	2	createVault
122	2	buyOption
122	3	withdraw
123	1	_addReward
123	1	_addReward
123	2	_addReward
123	2	_claimableRewards
123	3	_addReward
125	1	_withdrawFromYieldPool
125	1	processYield
125	1	withdrawCollateral
125	1	depositCollateral
125	1	_getYieldAmount
125	2	processYield
125	2	_depositToYieldPool
125	2	_withdrawFromYieldPool
125	2	withdrawCollateral
125	3	withdrawCollateral
125	3	withdrawCollateral
125	3	_withdrawFromYieldPool
125	3	processYield
125	3	_depositToYieldPool
131	1	mint
131	2	mint
143	1	claimFor
143	1	mintFor
143	1	burnFrom
143	1	recordPaymentFrom
143	1	currentPrice
143	2	claimFor
143	2	transferFrom
143	2	recordPaymentFrom
143	2	currentPrice
143	3	currentPrice
143	3	claimFor
143	3	recordPaymentFrom
143	3	recordRedemptionFor
143	3	recordMigration
145	3	wrapETH2LD
145	3	unwrapETH2LD
145	3	upgradeETH2LD
145	3	upgrade
145	3	setSubnodeOwner
145	3	setRecord
190	1	hook
190	2	hook
190	2	hook
190	3	hook
190	3	setTreasury
191	1	winnerClaimNFT
191	1	winnerClaimNFT
191	2	winnerClaimNFT
191	3	winnerClaimNFT
192	1	_closePosition
192	1	_checkGas
192	1	deposit
192	1	withdraw
192	1	executeLimitOrder
192	1	addToPosition
192	1	setAccInterest
192	1	reducePosition
192	1	claim
192	1	claimDebt
192	1	release
192	1	release
192	1	setManager
192	2	getVerifiedPrice
192	2	_checkGas
192	2	deposit
192	2	deposit
192	2	mint
192	2	executeLimitOrder
192	2	modifyMargin
192	2	addToPosition
192	2	setAccInterest
192	2	reducePosition
192	2	modifyTp
192	2	modifySl
192	2	claim
192	2	claimDebt
192	2	claim
192	2	createLock
192	3	_closePosition
192	3	_closePosition
192	3	_setReferral
192	3	deposit
192	3	withdraw
192	3	executeLimitOrder
192	3	constructor
192	3	claim
192	3	claimDebt
192	3	release
192	3	claim
192	3	claimDebt
193	1	buy
193	1	wrap
193	1	addQuote
193	2	add
193	2	remove
193	2	buy
193	2	sell
193	3	sell
193	3	remove
193	3	nftRemove
12&13	3	CauldronMath.add
12&13	3	mature
12&13	3	pour
12&13	3	_pour
12&13	3	deposit
12&13	3	withdrawDeposit
