ID	test	function	found
35	1	subscribe	yes
35	1	claimReward	yes
35	1	getReward	yes
35	2	claimReward	yes
35	2	subscribe	yes
35	2	claimReward	yes
35	2	getReward	yes
35	3	claimReward	yes
35	3	subscribe	yes
36	1	mint	yes
36	1	handleFees	yes
36	2	mint	yes
36	2	handleFees	yes
36	3	mint	yes
36	3	handleFees	yes
37	2	depositYieldBearing	yes
37	2	depositBacking	no
38	1	tipMiner	no
38	1	execute	yes
38	1	send	yes
38	1	execScheduled	yes
38	2	tipMiner	no
38	2	execute	yes
38	2	executeBySender	no
38	2	send	yes
38	2	sendTransfer	yes
38	3	tipMiner	no
38	3	setAddrPrivilege	yes
38	3	execute	yes
38	3	send	yes
38	3	execScheduled	yes
38	3	sendTransfer	yes
38	3	sendTxns	yes
39	1	transferNotionalFrom	yes
39	1	transferNotionalFee	yes
39	1	removeNotional	no
39	2	transferNotionalFrom	yes
39	2	transferNotionalFee	yes
39	3	transferNotionalFrom	yes
39	3	addNotional	yes
39	3	transferNotionalFee	yes
39	1	withdraw	no
39	1	initiateVaultFillingZcTokenInitiate	yes
39	1	initiate	yes
39	2	withdraw	no
39	3	withdraw	no
39	3	initiateVaultFillingZcTokenInitiate	yes
41	1	settleAuction	yes
41	1	addBounty	yes
41	1	settleAuction	yes
41	2	settleAuction	yes
41	2	settleAuction	yes
41	2	withdrawBounty	no
41	3	settleAuction	yes
41	3	bondForRebalance	yes
42	1	flashLoan	yes
42	1	increase	yes
42	1	decrease	yes
42	1	registerAsset	yes
42	1	registerAssetByGov	yes
42	1	distributeMochi	yes
42	1	updateReserve	yes
42	1	distributeMochi	yes
42	1	claimRewardAsMochi	yes
42	1	addReward	no
42	1	addReward	no
42	1	vest	yes
42	1	claim	yes
42	1	lock	yes
42	1	forceClaim	no
42	1	veCRVInitialize	no
42	1	veCRVlock	yes
42	1	claimOperationCost	yes
42	1	_buyCRV	no
42	1	_lockCRV	no
42	2	withdraw	yes
42	2	liquidate	yes
42	2	flashLoan	yes
42	2	calculateFeeIndex	yes
42	2	registerAssetByGov	yes
42	2	distributeMochi	yes
42	2	updateReserve	yes
42	2	changeTreasuryRatio	no
42	2	claimRewardAsMochi	yes
42	2	addReward	no
42	2	claimRewardAsMochi	yes
42	2	vest	yes
42	2	claim	yes
42	2	lock	yes
42	2	forceClaim	no
42	2	claimOperationCost	yes
42	2	updateFee	no
42	2	veCRVlock	yes
42	3	N/A	no
42	3	withdraw	yes
42	3	mint	yes
42	3	registerAsset	yes
42	3	registerAssetByGov	yes
42	3	distributeMochi	yes
42	3	_buyMochi	yes
42	3	claimRewardAsMochi	yes
42	3	claimRewardAsMochi	yes
42	3	_buyCRV	no
42	3	_buyCRV	no
42	3	withdrawCRV	no
42	3	forceClaim	no
42	3	vest	yes
42	3	lock	yes
44	1	sweepFees	yes
44	2	swapByQuote	yes
44	2	swapByQuote	yes
44	3	swapByQuote	yes
45	2	getLockedAmount	yes
45	2	_findMedian	no
47	1	mint	yes
47	1	burn	yes
47	1	updatePricePerShare	yes
47	1	mint	yes
47	1	burn	yes
47	2	burn	yes
47	2	burn	yes
47	3	mint	yes
47	3	burn	yes
47	3	mint	yes
47	3	burn	yes
49	1	fetchPricePoint	yes
49	1	computeDepth	no
49	2	fetchPricePoint	yes
49	2	computeDepth	no
49	3	fetchPricePoint	yes
49	3	computeDepth	no
49	3	fetchPricePoint	yes
51	1	revoke	yes
51	1	_claimableAmount	yes
51	1	withdrawTokens	no
51	2	claim	yes
51	2	distributeTokens	no
51	3	claim	yes
51	3	_claimableAmount	yes
51	3	not	yes
52	1	calculateSwapReverse	no
52	1	swap	yes
52	1	mint	yes
52	1	_burn	no
52	1	removeLiquidity	yes
52	1	addLiquidity	yes
52	1	mintSynth	yes
52	1	burnSynth	yes
52	1	mintFungible	yes
52	1	burnFungible	no
52	1	removeLiquidity	yes
52	1	execute	yes
52	1	setTimelock	no
52	1	grant	no
52	1	reimburseImpermanentLoss	yes
52	1	consult	yes
52	1	consult	yes
52	1	enter	yes
52	1	leave	yes
52	2	calculateSlipAdjustment	no
52	2	calculateSwap	yes
52	2	calculateSwapReverse	no
52	2	mint	yes
52	2	_burn	no
52	2	swap	yes
52	2	removeLiquidity	yes
52	2	addLiquidity	yes
52	2	mintSynth	yes
52	2	burnSynth	yes
52	2	mintFungible	yes
52	2	burnFungible	no
52	2	rescue	yes
52	2	setTimelock	no
52	2	propose	no
52	2	grant	no
52	2	claim	yes
52	2	claimConverted	yes
52	3	calculateSwap	yes
52	3	calculateSwapReverse	no
52	3	mint	yes
52	3	_burn	no
52	3	swap	yes
52	3	rescue	yes
52	3	removeLiquidity	yes
52	3	propose	no
52	3	setTimelock	no
52	3	reimburseImpermanentLoss	yes
53	1	mint	yes
53	1	receive	yes
53	1	increaseLockTimestamp	no
53	2	receive	yes
53	2	increaseLockTimestamp	no
53	2	unlockTokens	yes
53	2	burn	yes
53	3	mint	yes
53	3	releaseToken	no
53	3	receive	yes
53	3	_submitOrder	yes
53	3	increaseLockTimestamp	no
54	1	recordKeyPurchase	yes
54	1	recordKeyPurchase	yes
54	1	setOracle	no
54	1	recordKeyPurchase	yes
54	1	setKeyManagerOf	yes
54	1	_timeMachine	yes
54	1	purchase	yes
54	1	purchase	yes
54	1	shareKey	yes
54	1	transferFrom	yes
54	1	safeTransferFrom	no
54	1	safeTransferFrom	no
54	1	_cancelAndRefund	yes
54	2	recordKeyPurchase	yes
54	2	recordKeyPurchase	yes
54	2	recordKeyPurchase	yes
54	2	setApprovalForAll	yes
54	2	_timeMachine	yes
54	2	purchase	yes
54	2	shareKey	yes
54	2	shareKey	yes
54	2	transfer	yes
54	2	_cancelAndRefund	yes
54	3	recordKeyPurchase	yes
54	3	recordKeyPurchase	yes
54	3	_deployProxyAdmin	yes
54	3	_timeMachine	yes
54	3	_timeMachine	yes
54	3	purchase	yes
54	3	purchase	yes
54	3	purchase	yes
54	3	shareKey	yes
54	3	transferFrom	yes
54	3	_cancelAndRefund	yes
56	1	update	yes
56	1	getEarnedYield	no
56	2	update	yes
56	3	update	yes
56	3	update	yes
58	1	_pull	yes
58	1	_allowTokenIfNecessary	no
58	1	N/A	no
58	1	deployVault	no
58	1	collectEarnings	yes
58	2	_pull	yes
58	2	_allowTokenIfNecessary	no
58	2	deposit	yes
58	2	withdraw	yes
58	2	deployVault	no
58	2	deployVault	no
58	2	collectEarnings	yes
58	3	_pull	yes
58	3	_allowTokenIfNecessary	no
58	3	_push	yes
58	3	collectEarnings	yes
58	3	_parseOptions	no
59	1	getAverageParticipation	no
59	1	getRealBurnBudget	yes
59	1	buyMalt	yes
59	1	exitEarly	yes
59	2	buyMalt	yes
59	2	sellMalt	yes
59	2	addLiquidity	yes
59	2	removeLiquidity	yes
59	2	exitEarly	yes
59	3	exitEarly	yes
59	3	exitEarly	yes
59	3	earlyExitReturn	yes
59	3	buyMalt	yes
59	3	sellMalt	yes
59	3	addLiquidity	yes
59	3	removeLiquidity	yes
60	1	liquidate	yes
60	2	liquidate	yes
60	3	debitAccount	yes
60	3	settleAccount	yes
60	3	debit	yes
60	3	resolve	yes
60	3	liquidate	yes
60	3	withdrawTo	yes
61	1	emergencyWithdraw	yes
61	1	emergencyWithdraw	yes
61	1	emergencyWithdraw	yes
61	1	lockTokens	yes
61	1	emergencyWithdraw	yes
61	1	withdrawFromSavingsAccount	yes
61	1	transferTokens	yes
61	1	getChainlinkLatestPrice	yes
61	2	emergencyWithdraw	yes
61	2	receive	yes
61	2	emergencyWithdraw	yes
61	2	emergencyWithdraw	yes
61	2	lockTokens	yes
61	2	unlockTokens	yes
61	2	unlockShares	yes
61	2	emergencyWithdraw	yes
61	2	receive	yes
61	2	_depositToYield	no
61	2	switchStrategy	yes
61	2	_withdraw	yes
61	2	getChainlinkLatestPrice	yes
61	3	N/A	no
61	3	_depositToYield	no
61	3	_depositToYield	no
61	3	deposit	yes
61	3	withdrawFromSavingsAccount	yes
61	3	emergencyWithdraw	yes
61	3	getSharesForTokens	yes
61	3	lockTokens	yes
61	3	unlockTokens	yes
61	3	emergencyWithdraw	yes
61	3	emergencyWithdraw	yes
61	3	lockTokens	yes
61	3	unlockTokens	yes
61	3	unlockShares	yes
64	1	claimRewards	yes
64	2	claimRewards	yes
64	2	extendPromotion	yes
65	1	mintTo	yes
65	1	burn	yes
65	1	auctionBurn	yes
65	2	mintTo	yes
65	2	burn	yes
65	3	mintTo	yes
65	3	handleFees	yes
65	3	pushUnderlying	yes
65	3	pullUnderlying	yes
66	1	_buyBack	no
66	1	publicBuyBack	no
66	2	mint	yes
66	2	setAddresses	yes
66	2	publicBuyBack	no
66	3	mint	yes
66	3	mint	yes
66	3	_buyBack	no
66	3	_burn	yes
67	1	finishRedeemStable	yes
67	1	_swapUnderlyingToUst	no
67	2	finishRedeemStable	yes
67	2	_swapUnderlyingToUst	no
67	2	_swapUstToUnderlying	no
67	3	_swapUnderlyingToUst	no
67	3	_swapUstToUnderlying	no
68	1	joinTokenSingle	yes
68	1	_joinTokenSingle	yes
68	2	joinPool	yes
68	2	exitPool	no
68	2	joinTokenSingle	yes
68	2	_joinTokenSingle	yes
68	3	joinTokenSingle	yes
68	3	_joinTokenSingle	yes
68	3	_maxApprove	yes
69	1	addLiquidity721ETHTo	yes
69	1	addLiquidity721ETHTo	yes
69	1	provideInventory721	yes
69	1	setLPLockTime	yes
69	1	mintAndSell721	no
69	1	mintAndSell721WETH	no
69	1	buyAndSwap721	yes
69	1	buyAndSwap721WETH	yes
69	1	mintAndSell1155	no
69	1	mintAndSell1155WETH	no
69	2	addLiquidity721ETHTo	yes
69	2	addLiquidity1155ETHTo	no
69	2	buyAndSwap721	yes
69	2	buyAndSwap721WETH	yes
69	2	buyAndSwap1155	yes
69	2	buyAndSwap1155WETH	yes
69	2	buyAndRedeem	no
69	2	buyAndRedeemWETH	no
69	3	provideInventory721	yes
69	3	buyAndSwap721	yes
69	3	buyAndSwap721WETH	yes
69	3	buyAndSwap1155	yes
69	3	buyAndSwap1155WETH	yes
69	3	buyAndRedeem	no
69	3	buyAndRedeemWETH	no
70	1	rescue	yes
70	1	rescue	yes
70	1	calculateLiquidityUnits	no
70	1	calculateSlipAdjustment	yes
70	1	calculateSwap	yes
70	1	calculateSwapReverse	yes
70	1	mintSynth	yes
70	1	burnSynth	no
70	1	mul	yes
70	1	muli	no
70	1	muluq	no
70	1	divuq	no
70	1	fraction	yes
70	1	constructor	no
70	1	setTimelock	no
70	1	syncVaderPrice	yes
70	1	reimburseImpermanentLoss	yes
70	1	claim	yes
70	2	rescue	yes
70	2	rescue	yes
70	2	_update	yes
70	2	calculateSwap	yes
70	2	calculateLoss	no
70	2	calculateSwapReverse	yes
70	2	burnSynth	no
70	2	burnFungible	no
70	2	N/A	no
70	2	propose	no
70	2	_castVote	no
70	2	getVaderPrice	yes
70	2	syncVaderPrice	yes
70	3	claimAll	no
70	3	mint	yes
70	3	burn	yes
70	3	reimburseImpermanentLoss	yes
70	3	grant	no
70	3	getVaderPrice	yes
70	3	_updateVaderPrice	yes
70	3	setupVader	yes
70	3	propose	no
70	3	setTimelock	no
70	3	mul	yes
70	3	muli	no
70	3	burnSynth	no
70	3	rescue	yes
70	3	_supportedToken	yes
70	3	calculateSlipAdjustment	yes
70	3	calculateSwapReverse	yes
71	1	createMarket	yes
71	1	createMarket	yes
71	1	withdrawValue	yes
71	1	_withdrawAttribution	no
71	1	repayDebt	yes
71	1	withdraw	yes
71	1	deposit	yes
71	1	adjustAlloc	yes
71	1	withdraw	yes
71	1	allocateCredit	no
71	2	createMarket	yes
71	2	withdrawValue	yes
71	2	repayDebt	yes
71	2	_withdrawAttribution	no
71	2	withdraw	yes
71	2	deposit	yes
71	2	withdraw	yes
71	2	deposit	yes
71	2	withdraw	yes
71	2	insure	yes
71	3	approveTemplate	yes
71	3	createMarket	yes
71	3	withdrawValue	yes
71	3	withdraw	yes
71	3	adjustAlloc	yes
71	3	deposit	yes
71	3	withdraw	yes
71	3	insure	yes
73	2	migrateDelegator	no
73	3	migrateDelegator	no
74	1	migrateETH	no
74	1	migrateLPT	no
74	1	receive	yes
74	1	timeswapMintCallback	yes
74	1	deployNative	no
74	1	mint	yes
74	2	receive	yes
74	2	mint	yes
74	3	mint	yes
74	3	receive	yes
77	1	swapBaseTokenForQuoteToken	yes
77	1	calculateAddLiquidityQuantities	yes
77	2	swapBaseTokenForQuoteToken	yes
77	2	wDiv	no
77	2	calculateBaseTokenQty	no
77	3	swapBaseTokenForQuoteToken	yes
77	3	swapBaseTokenForQuoteToken	yes
77	3	calculateLiquidityTokenQtyForDoubleAssetEntry	yes
77	3	calculateAddLiquidityQuantities	yes
78	1	purchasePyroFlan	yes
78	1	purchasePyroFlan	yes
78	1	purchasePyroFlan	yes
78	1	setEnforcement	yes
78	1	transferAndCall	yes
78	1	withdrawGovernanceAsset	yes
78	1	convertFateToFlan	yes
78	1	setEYEBasedAssetStake	yes
78	1	burnAsset	yes
78	2	purchasePyroFlan	yes
78	2	purchasePyroFlan	yes
78	2	setEnforcement	yes
78	2	transferAndCall	yes
78	2	withdrawGovernanceAsset	yes
78	2	setEYEBasedAssetStake	yes
78	2	burnAsset	yes
78	3	purchasePyroFlan	yes
78	3	getMagnitude	yes
78	3	normalize	no
78	3	transferAndCall	yes
78	3	transferAndCall	yes
78	3	setEnforcement	yes
78	3	withdrawGovernanceAsset	yes
78	3	enforceToleranceInt	no
78	3	setEYEBasedAssetStake	yes
78	3	burnAsset	yes
79	1	initialize	yes
79	1	allowEmergencyWithdraw	yes
79	2	withdrawAVAX	yes
79	2	depositAVAX	no
79	2	emergencyWithdraw	yes
79	2	initialize	yes
79	2	createPair	yes
80	1	nonReentrant	yes
80	1	wrap	yes
80	1	unwrap	yes
80	2	_calcCvxIntegral	no
80	2	_calcRewardIntegral	yes
80	2	wrap	yes
80	2	unwrap	yes
80	3	nonReentrant	yes
80	3	setApprovals	no
80	3	wrap	yes
80	3	unwrap	yes
81	1	claimCOMPAndTransfer	yes
81	1	setReserveBuffer	no
81	1	N/A	no
81	2	claimCOMPAndTransfer	yes
81	2	transferReserveToTreasury	yes
81	3	claimCOMPAndTransfer	yes
81	3	setReserveBuffer	no
83	1	deposit	yes
83	1	deposit	yes
83	1	donate	yes
83	1	withdraw	yes
83	1	deposit	yes
83	1	withdraw	yes
83	2	deposit	yes
83	2	deposit	yes
83	2	withdraw	yes
83	2	donate	yes
83	2	withdraw	yes
83	2	deposit	yes
83	2	withdraw	yes
83	3	deposit	yes
83	3	withdraw	yes
83	3	deposit	yes
83	3	withdraw	yes
83	3	withdraw	yes
83	3	donate	yes
83	3	withdraw	yes
83	3	deposit	yes
83	3	add	yes
90	1	mint	yes
90	1	burn	yes
90	2	mint	yes
90	2	burn	yes
90	3	mint	yes
90	3	mint	yes
90	3	burn	yes
92	1	boost	yes
92	1	less	yes
92	2	boost	yes
92	2	less	yes
92	2	slurp	yes
92	2	sweep	yes
92	2	gib	yes
92	3	boost	yes
92	3	less	yes
94	1	_getCreatorPaymentInfo	yes
94	1	_distributeFunds	yes
94	1	_distributeFunds	yes
94	1	placeBidOf	yes
94	2	_distributeFunds	yes
94	2	placeBidOf	yes
94	2	finalizeReserveAuction	yes
94	3	_getCreatorPaymentInfo	yes
94	3	placeBidOf	yes
96	1	pay	yes
96	2	mint	yes
96	3	mint	yes
96	3	lend	yes
96	3	borrow	yes
96	3	pay	yes
97	1	withdraw	yes
97	1	reclaimTokens	yes
97	2	reclaimTokens	yes
97	2	_sendRewardsForNft	yes
97	2	deposit	yes
97	2	withdraw	yes
97	2	extractRewards	yes
97	2	sendFundsToUser	yes
97	2	depositErc20	yes
97	3	withdraw	yes
97	3	reclaimTokens	yes
98	1	executeMetaTransaction	yes
98	2	executeMetaTransaction	yes
98	3	executeMetaTransaction	yes
100	2	deposit	yes
100	2	withdraw	yes
102	1	requestCPIData	yes
102	1	fulfill	yes
102	1	requestCPIData	yes
102	2	fulfill	yes
102	2	requestCPIData	yes
102	3	getCurrentOraclePrice	yes
102	3	requestCPIData	yes
103	1	swapTokensGeneric	yes
103	1	swap	yes
103	2	swapTokensGeneric	yes
103	2	swap	yes
103	3	swapTokensGeneric	yes
103	3	swap	yes
104	1	withdraw	yes
104	1	mintToken	yes
104	2	withdraw	yes
104	2	batchMint	no
104	2	attemptETHTransfer	yes
104	3	transferSplitAsset	yes
104	3	attemptETHTransfer	yes
104	3	withdraw	yes
107	2	unlock	yes
107	3	lockFor	yes
107	3	lockFor	yes
109	1	_burnTokenFrom	yes
109	1	_mintToken	yes
109	1	_burnToken	yes
109	1	swap	yes
109	2	sendToken	no
109	2	_approveContractCall	no
109	2	swap	yes
109	3	swap	yes
109	3	swap	yes
109	3	swap	yes
109	3	_burnTokenFrom	yes
109	3	_mintToken	yes
109	3	_burnToken	yes
110	1	deposit	yes
110	2	reportAdditionalToken	yes
110	2	earn	yes
110	2	getPricePerFullShare	yes
110	3	reportAdditionalToken	yes
110	3	reportHarvest	no
112	2	unstakeFor	no
112	2	addStrategy	no
112	3	unstakeFor	no
113	1	repay	yes
113	1	_lend	yes
113	2	repay	yes
113	2	_call	no
113	3	lend	yes
113	3	repay	yes
115	1	executeOperation	yes
115	1	depositToVault	no
115	1	leverageSwap	yes
115	2	executeOperation	yes
115	2	depositToVault	no
115	2	leverageSwap	yes
115	2	executeOperation	yes
115	2	leverageSwap	yes
115	2	aggregatorSwap	yes
115	3	executeOperation	yes
115	3	aggregatorSwap	yes
122	1	withdraw	yes
122	1	createVault	yes
122	2	withdraw	yes
122	2	createVault	yes
122	2	buyOption	yes
122	3	withdraw	yes
123	1	_addReward	yes
123	1	_addReward	yes
123	2	_addReward	yes
123	2	_claimableRewards	yes
123	3	_addReward	yes
125	1	_withdrawFromYieldPool	yes
125	1	processYield	yes
125	1	withdrawCollateral	yes
125	1	depositCollateral	yes
125	1	_getYieldAmount	no
125	2	processYield	yes
125	2	_depositToYieldPool	yes
125	2	_withdrawFromYieldPool	yes
125	2	withdrawCollateral	yes
125	3	withdrawCollateral	yes
125	3	withdrawCollateral	yes
125	3	_withdrawFromYieldPool	yes
125	3	processYield	yes
125	3	_depositToYieldPool	yes
131	1	mint	yes
131	2	mint	yes
143	1	claimFor	no
143	1	mintFor	no
143	1	burnFrom	no
143	1	recordPaymentFrom	yes
143	1	currentPrice	yes
143	2	claimFor	no
143	2	transferFrom	yes
143	2	recordPaymentFrom	yes
143	2	currentPrice	yes
143	3	currentPrice	yes
143	3	claimFor	no
143	3	recordPaymentFrom	yes
143	3	recordRedemptionFor	yes
143	3	recordMigration	no
145	3	wrapETH2LD	yes
145	3	unwrapETH2LD	yes
145	3	upgradeETH2LD	no
145	3	upgrade	no
145	3	setSubnodeOwner	yes
145	3	setRecord	yes
190	1	hook	yes
190	2	hook	yes
190	2	hook	yes
190	3	hook	yes
190	3	setTreasury	yes
